location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,77.34699,83.3873,93.16609,2683,final,2025-09-11,2025-09-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,5.132687,8.66048,74.17519,2683,final,2025-09-21,2025-09-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,20.985464,24.753807,87.334915,2683,final,2025-09-21,2025-09-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,63.918,77.72344,83.31133,2683,final,2025-09-21,2025-09-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,10.41707,13.561225,83.06063,2683,final,2025-10-01,2025-10-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,23.3716,30.559137,79.78709,2683,final,2025-10-01,2025-10-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,69.66008,82.734535,85.09771,2683,final,2025-10-01,2025-10-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,5.1099515,16.88186,46.202427,2683,final,2025-10-11,2025-10-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,20.659708,39.103565,58.180576,2683,final,2025-10-11,2025-10-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,69.32389,90.78775,77.59227,2683,final,2025-10-11,2025-10-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,35.957138,26.599144,129.61472,2683,final,2025-10-21,2025-10-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,51.48416,57.04223,91.04147,2683,final,2025-10-21,2025-10-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,96.87067,106.46963,91.38872,2683,final,2025-10-21,2025-10-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,14.8456955,39.46822,44.62894,2683,final,2025-11-01,2025-11-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,55.912785,82.94923,69.25903,2683,final,2025-11-01,2025-11-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,103.568016,137.92847,75.95969,2683,final,2025-11-01,2025-11-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,16.366755,42.959385,44.55177,2683,final,2025-11-11,2025-11-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,67.169586,109.02675,63.291805,2683,final,2025-11-11,2025-11-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,112.46068,173.26614,65.890625,2683,final,2025-11-11,2025-11-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,7.8110323,40.840588,27.946918,2683,final,2025-11-21,2025-11-30
